tb,vig,pond
1,1,1
1,0,0
1,1,1
1,0,0
1,1,1
2,1,0.5
2,2,1
2,2,1
2,2,1
2,0,0
3,2,0.666666666666667
3,0,0
3,0,0
3,2,0.666666666666667
3,1,0.333333333333333
4,1,0.25
4,4,1
4,1,0.25
4,3,0.75
4,1,0.25
5,3,0.6
5,2,0.4
5,2,0.4
5,1,0.2
5,2,0.4
6,3,0.5
6,2,0.333333333333333
6,3,0.5
6,2,0.333333333333333
6,3,0.5
7,4,0.571428571428571
7,4,0.571428571428571
7,4,0.571428571428571
7,7,1
7,0,0
8,3,0.375
8,5,0.625
8,4,0.5
8,3,0.375
8,2,0.25
9,4,0.444444444444444
9,3,0.333333333333333
9,3,0.333333333333333
9,2,0.222222222222222
9,4,0.444444444444444
10,5,0.5
10,3,0.3
10,4,0.4
10,3,0.3
10,3,0.3
11,5,0.454545454545455
11,4,0.363636363636364
11,5,0.454545454545455
11,3,0.272727272727273
11,4,0.363636363636364
12,3,0.25
12,4,0.333333333333333
12,3,0.25
12,3,0.25
12,4,0.333333333333333
13,3,0.230769230769231
13,5,0.384615384615385
13,3,0.230769230769231
13,4,0.307692307692308
13,4,0.307692307692308
