;taxa1;taxa2;taxa3;taxa4;taxa5;taxa6;taxa7;taxa8;taxa9;taxa10;taxa11;taxa12;taxa13;taxa14;taxa15
1;21;18;19;18;18;16;17;20;20;;;;;;
2;15;18;17;18;18;19;17;18;20;;;;;;
3;14;15;16;19;18;17;17;16;19;;;;;;
4;19;18;13;11;17;15;15;16;17;;;;;;
5;18;17;18;16;15;14;14;13;17;;;;;;
6;12;12;15;14;15;14;13;14;15;;;;;;
7;14;14;13;14;15;14;13;13;13;;;;;;
8;13;15;13;14;13;12;13;14;14;;;;;;
9;14;7;8;12;12;11;12;12;10;;;;;;
10;8;9;9;10;10;11;11;12;13;;;;;;
11;8;9;10;8;12;11;10;10;12;;;;;;
12;7;8;7;7;8;9;9;10;11;;;;;;
13;7;6;5;6;7;8;9;9;10;11;;;;;
14;;;;;;;;;;;;;;;
15;;;;;;;;;;;;;;;
