tb,tx
1,21
1,18
1,19
1,18
1,18
1,16
1,17
1,20
1,20
2,15
2,18
2,17
2,18
2,18
2,19
2,17
2,18
2,20
3,14
3,15
3,16
3,19
3,18
3,17
3,17
3,16
3,19
4,19
4,18
4,13
4,11
4,17
4,15
4,15
4,16
4,17
5,18
5,17
5,18
5,16
5,15
5,14
5,14
5,13
5,17
6,12
6,12
6,15
6,14
6,15
6,14
6,13
6,14
6,15
7,14
7,14
7,13
7,14
7,15
7,14
7,13
7,13
7,13
8,13
8,15
8,13
8,14
8,13
8,12
8,13
8,14
8,14
9,14
9,7
9,8
9,12
9,12
9,11
9,12
9,12
9,10
10,8
10,9
10,9
10,10
10,10
10,11
10,11
10,12
10,13
11,8
11,9
11,10
11,8
11,12
11,11
11,10
11,10
11,12
12,7
12,8
12,7
12,7
12,8
12,9
12,9
12,10
12,11
13,7
13,6
13,5
13,6
13,7
13,8
13,9
13,9
13,10
