flock_size,watchers
1,1
1,1
1,0
1,1
1,1
1,1
1,0
1,1
1,0
1,1
1,1
1,1
1,1
1,0
1,1
2,1
2,1
2,1
2,2
2,1
2,0
2,2
2,2
2,1
2,2
2,1
2,0
2,1
2,1
2,2
3,2
3,1
3,2
3,2
3,2
3,3
3,2
3,0
3,1
3,0
3,2
3,2
3,2
3,0
3,1
4,1
4,1
4,1
4,2
4,4
4,2
4,2
4,3
4,1
4,1
4,2
4,1
4,3
4,1
4,2
5,3
5,1
5,3
5,3
5,2
5,2
5,3
5,2
5,2
5,1
5,4
5,2
5,3
5,2
5,1
6,3
6,6
6,2
6,3
6,2
6,3
7,3
7,4
7,4
7,3
7,5
7,4
7,3
7,1
7,4
7,7
7,0
7,2
8,3
8,4
8,3
8,5
8,4
8,4
8,4
8,3
8,3
8,2
8,1
8,3
8,2
9,4
9,3
9,3
9,5
9,2
9,4
10,5
10,3
10,4
10,3
10,3
10,3
11,5
11,4
11,5
11,3
11,4
11,2
11,4
11,4
11,3
12,3
12,4
12,3
12,3
12,4
12,4
13,3
13,5
13,3
13,4
13,4
